"No.","Time","Source","Destination","Protocol","Length","Info"
"456","4610.962028304","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=18761 Ack=5960 Win=64384 Len=376 TSval=2987232451 TSecr=3616435094"
"457","4610.962076669","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=5960 Ack=19137 Win=64128 Len=0 TSval=3616489780 TSecr=2987232451"
"458","4616.012154459","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"459","4616.016571240","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"460","4652.016433719","fe80::ed08:1905:e00a:af72","ff02::fb","MDNS","203","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"461","4671.032088202","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=5960 Ack=19137 Win=64128 Len=83 TSval=3616549850 TSecr=2987232451"
"462","4671.059780082","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=19137 Ack=6043 Win=64384 Len=72 TSval=2987292549 TSecr=3616549850"
"463","4671.059806003","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6043 Ack=19209 Win=64128 Len=0 TSval=3616549878 TSecr=2987292549"
"464","4676.172165544","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"465","4676.176124801","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"466","4685.914208311","10.29.230.57","224.0.0.251","MDNS","183","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ftp._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"467","4709.690773832","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=19209 Ack=6043 Win=64384 Len=376 TSval=2987331180 TSecr=3616549878"
"468","4709.690807413","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6043 Ack=19585 Win=64128 Len=0 TSval=3616588509 TSecr=2987331180"
"469","4714.828153686","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"470","4714.832064405","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"471","4732.593357781","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=19585 Ack=6043 Win=64384 Len=376 TSval=2987354082 TSecr=3616588509"
"472","4732.593401616","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6043 Ack=19961 Win=64128 Len=0 TSval=3616611411 TSecr=2987354082"
"473","4792.652239906","10.29.230.57","199.247.27.41","TCP","66","[TCP Keep-Alive] 39680  >  3333 [ACK] Seq=6042 Ack=19961 Win=64128 Len=0 TSval=3616671470 TSecr=2987354082"
"474","4792.679895377","199.247.27.41","10.29.230.57","TCP","66","[TCP Keep-Alive ACK] 3333  >  39680 [ACK] Seq=19961 Ack=6043 Win=64384 Len=0 TSval=2987414169 TSecr=3616611411"
"475","4793.040278065","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=6043 Ack=19961 Win=64128 Len=83 TSval=3616671858 TSecr=2987414169"
"476","4793.067981310","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=19961 Ack=6126 Win=64384 Len=72 TSval=2987414557 TSecr=3616671858"
"477","4793.068020319","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6126 Ack=20033 Win=64128 Len=0 TSval=3616671886 TSecr=2987414557"
"478","4854.040198660","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=6126 Ack=20033 Win=64128 Len=83 TSval=3616732858 TSecr=2987414557"
"479","4854.068017992","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=20033 Ack=6209 Win=64384 Len=72 TSval=2987475557 TSecr=3616732858"
"480","4854.068055025","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6209 Ack=20105 Win=64128 Len=0 TSval=3616732886 TSecr=2987475557"
"481","4859.212144873","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"482","4859.216368039","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"483","4915.040193093","10.29.230.57","199.247.27.41","TCP","149","39680  >  3333 [PSH, ACK] Seq=6209 Ack=20105 Win=64128 Len=83 TSval=3616793858 TSecr=2987475557"
"484","4915.067972553","199.247.27.41","10.29.230.57","TCP","138","3333  >  39680 [PSH, ACK] Seq=20105 Ack=6292 Win=64384 Len=72 TSval=2987536557 TSecr=3616793858"
"485","4915.067998555","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6292 Ack=20177 Win=64128 Len=0 TSval=3616793886 TSecr=2987536557"
"486","4920.140128723","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
"487","4920.162633594","All-HSRP-routers_ea","RealtekU_4c:cc:50","ARP","60","10.29.228.1 is at 00:00:0c:07:ac:ea"
"488","4968.200750011","10.29.230.57","224.0.0.251","MDNS","114","Standard query response 0x0000 AAAA, cache flush fe80::ed08:1905:e00a:af72 A, cache flush 10.29.230.57"
"489","4975.201793819","199.247.27.41","10.29.230.57","TCP","442","3333  >  39680 [PSH, ACK] Seq=20177 Ack=6292 Win=64384 Len=376 TSval=2987596691 TSecr=3616793886"
"490","4975.201839398","10.29.230.57","199.247.27.41","TCP","66","39680  >  3333 [ACK] Seq=6292 Ack=20553 Win=64128 Len=0 TSval=3616854020 TSecr=2987596691"
"491","4980.300186168","RealtekU_4c:cc:50","All-HSRP-routers_ea","ARP","42","Who has 10.29.228.1? Tell 10.29.230.57"
